Real, Imaginary 
12855155650004968096,3343957605191602115
1671978802595801057,10031872815574806345
5015936407787403172,11648874373014867419
15047809223362209517,16499879045335050641
8249939522667525320,12606148988586048691
6303074494293024345,924958818339042841
462479409169521420,2774876455017128523
1387438227508564261,8324629365051385569
4162314682525692784,6527144021444605091
12486944047577078353,1134687990624263657
567343995312131828,3404063971872790971
1702031985936395485,10212191915618372913
5106095957809186456,12189831673145567123
15318287873427559369,18122750945727149753
9061375472863574876,17474764689762346027
8737382344881173013,15530805921867934849
7765402960933967424,9698929618184701315
4849464809092350657,10650044780844552329
14548394427277051972,13503390268824105371
6751695134412052685,3616682659053212881
1808341329526606440,10850047977159638643
5425023988579819321,14103399857769364313
16275071965739457964,5416711425888989707
11931727749799270661,16250134277666969121
17348439175688260368,11856914685581804131
15151829379645677873,17123999983035860777
8561999991517930388,14478511801688479099
7239255900844239549,6542047257646334065
3271023628823167032,1179397699229450579
9813070886469501097,3538193097688351737
10992468585698951676,10614579293065055211
14530661683387303413,13396993805485614017
6698496902742807008,3297493269037738819
1648746634518869409,9892479807113216457
4946239903556608228,11230695347630097755
14838719710669824685,15245341969180741649
7622670984590370824,8842537760123121715
4421268880061560857,8080869206659813529
13263806640184682572,5795863546269888971
2897931773134944485,17387590638809666913
8693795319404833456,15269283769009897507
7634641884504948753,8914363159610589289
4457181579805294644,8296345405122216251
13371544739415883933,6442292141657097137
3221146070828548568,880132351261739795
9663438212485645705,2640397053785219385
10543570563747385500,7921191161355658155
13183967617532604885,5316829410357422849
2658414705178711424,15950488231072268547
7975244115536134273,10957976545797702409
5478988272898851204,14427185563683555611
16436964818696553613,6388068543631563601
12417406308670557608,717461557185139187
358730778592569593,2152384671555417561
1076192335777708780,6457154014666252683
3228577007333126341,924717970289206433
9685731021999379024,2774153910867619299
10610448992288585457,8322461732602857897
13384602903156204756,6520641124099022075
3260320562049511037,1115179298587514609
9780961686148533112,3345537895762543827
10896140984736047721,10036613687287631481
